year,month,county,births
1960,1,Alameda,1693
1960,1,Alpine,0
1960,1,Amador,0
1960,1,Butte,132
1960,1,Calaveras,14
1960,1,Colusa,16
1960,1,Contra Costa,535
1960,1,Del Norte,56
1960,1,El Dorado,42
1960,1,Fresno,727
1960,1,Glenn,23
1960,1,Humboldt,201
1960,1,Imperial,162
1960,1,Inyo,17
1960,1,Kern,586
1960,1,Kings,105
1960,1,Lake,18
1960,1,Lassen,16
1960,1,Los Angeles,10968
1960,1,Madera,73
1960,1,Marin,198
1960,1,Mariposa,0
1960,1,Mendocino,89
1960,1,Merced,215
1960,1,Modoc,0
1960,1,Mono,0
1960,1,Monterey,393
1960,1,Napa,76
1960,1,Nevada,33
1960,1,Orange,1131
1960,1,Placer,119
1960,1,Plumas,23
1960,1,Riverside,650
1960,1,Sacramento,1010
1960,1,San Benito,31
1960,1,San Bernardino,948
1960,1,San Diego,2168
1960,1,San Francisco,1675
1960,1,San Joaquin,439
1960,1,San Luis Obispo,118
1960,1,San Mateo,444
1960,1,Santa Barbara,351
1960,1,Santa Clara,1264
1960,1,Santa Cruz,119
1960,1,Shasta,102
1960,1,Sierra,0
1960,1,Siskiyou,42
1960,1,Solano,330
1960,1,Sonoma,223
1960,1,Stanislaus,283
1960,1,Sutter,87
1960,1,Tehama,49
1960,1,Trinity,11
1960,1,Tulare,297
1960,1,Tuolumne,19
1960,1,Ventura,360
1960,1,Yolo,67
1960,1,Yuba,59
1960,1,Alameda,1553
1960,1,Alpine,0
1960,1,Amador,0
1960,1,Butte,136
1960,1,Calaveras,14
1960,1,Colusa,20
1960,1,Contra Costa,733
1960,1,Del Norte,41
1960,1,El Dorado,54
1960,1,Fresno,748
1960,1,Glenn,24
1960,1,Humboldt,200
1960,1,Imperial,162
1960,1,Inyo,17
1960,1,Kern,580
1960,1,Kings,88
1960,1,Lake,21
1960,1,Lassen,21
1960,1,Los Angeles,10653
1960,1,Madera,80
1960,1,Marin,265
1960,1,Mariposa,0
1960,1,Mendocino,104
1960,1,Merced,216
1960,1,Modoc,0
1960,1,Mono,0
1960,1,Monterey,410
1960,1,Napa,82
1960,1,Nevada,33
1960,1,Orange,1373
1960,1,Placer,94
1960,1,Plumas,20
1960,1,Riverside,656
1960,1,Sacramento,985
1960,1,San Benito,30
1960,1,San Bernardino,971
1960,1,San Diego,2150
1960,1,San Francisco,1244
1960,1,San Joaquin,424
1960,1,San Luis Obispo,133
1960,1,San Mateo,747
1960,1,Santa Barbara,342
1960,1,Santa Clara,1277
1960,1,Santa Cruz,109
1960,1,Shasta,96
1960,1,Sierra,0
1960,1,Siskiyou,51
1960,1,Solano,321
1960,1,Sonoma,222
1960,1,Stanislaus,264
1960,1,Sutter,69
1960,1,Tehama,49
1960,1,Trinity,11
1960,1,Tulare,303
1960,1,Tuolumne,19
1960,1,Ventura,393
1960,1,Yolo,125
1960,1,Yuba,75
1960,2,Alameda,1707
1960,2,Alpine,0
1960,2,Amador,11
1960,2,Butte,135
1960,2,Calaveras,12
1960,2,Colusa,15
1960,2,Contra Costa,520
1960,2,Del Norte,37
1960,2,El Dorado,38
1960,2,Fresno,653
1960,2,Glenn,28
1960,2,Humboldt,207
1960,2,Imperial,174
1960,2,Inyo,22
1960,2,Kern,577
1960,2,Kings,118
1960,2,Lake,0
1960,2,Lassen,29
1960,2,Los Angeles,10581
1960,2,Madera,81
1960,2,Marin,194
1960,2,Mariposa,0
1960,2,Mendocino,60
1960,2,Merced,206
1960,2,Modoc,0
1960,2,Mono,0
1960,2,Monterey,357
1960,2,Napa,70
1960,2,Nevada,29
1960,2,Orange,1188
1960,2,Placer,102
1960,2,Plumas,12
1960,2,Riverside,539
1960,2,Sacramento,1016
1960,2,San Benito,21
1960,2,San Bernardino,928
1960,2,San Diego,1987
1960,2,San Francisco,1582
1960,2,San Joaquin,416
1960,2,San Luis Obispo,135
